ID,성별,연령,거주지역,구매시각,구매지역,상품분류,구매수량,구매금액
U790695084,여성,55,경기 성남시,7일-7월-2021년 19시,경기 성남시,의류잡화-여성용의류-SPA,1개,30000.0
U65233355,여성,55,서울 강서구,9일-10월-2021년 14시,서울 송파구,의류잡화-구두,-1개,-255000.0
U435335329,여성,55,부산 중구,6일-4월-2021년 16시,부산 부산진구,의류잡화-여성용의류-SPA,1개,212000.0
U947544552,여성,62,서울 노원구,2일-6월-2021년 17시,서울 노원구,가전제품-주방가전,2개,18000.0
U956656706,여성,61,경기 부천시,22일-3월-2021년 18시,경기 부천시,식품-음료,1개,
U10646654,여성,57,경기 남양주시,21일-11월-2021년 17시,경기 구리시,,1개,2000.0
U228236328,여성,61,부산 서구,5일-8월-2021년 17시,부산 중구,식품-가공식품,3개,38000.0
U881587107,여성,56,서울 종로구,8일-3월-2021년 12시,서울 중구,명품-명품,1개,1532000.0
U701596950,여성,62,경기 의정부시,1일-11월-2021년 15시,서울 노원구,생활잡화-화장품,1개,92000.0
U763538561,여성,67,부산 부산진구,5일-2월-2021년 14시,부산 부산진구,레포츠-스포츠용품/의류,6개,1000.0
U431851403,남성,60,경기 양평군,18일-2월-2021년 14시,경기 구리시,생활잡화-침구류,1개,149000.0
U206735133,남성,57,경기 시흥시,2일-5월-2021년 16시,경기 안산시,생활잡화-화장품,1개,98000.0
U933903611,여성,56,경기 성남시,3일-5월-2021년 13시,서울 송파구,의류잡화-패션잡화,1개,79000.0
U653565164,여성,57,부산 동래구,1일-5월-2021년 14시,부산 동래구,의류잡화-여성용의류-SPA,2개,71000.0
U894526443,여성,68,경기 부천시,23일-1월-2021년 15시,경기 부천시,식품-축산물,1개,8000.0
U800536581,여성,55,경기 안양시,14일-12월-2021년 13시,경기 안양시,식품-가공식품,1개,3000.0
U807526904,여성,59,서울 구로구,11일-7월-2021년 13시,서울 영등포구,의류잡화-여성용의류-SPA,-1개,-35000.0
U996121692,여성,59,경기 안산시,27일-12월-2021년 12시,경기 안산시,레포츠-골프용품/의류,1개,306000.0
U32394590,여성,65,서울 송파구,11일-11월-2021년 13시,서울 광진구,식품-가공식품,4개,4000.0
U99392015,여성,55,경기 의정부시,28일-5월-2021년 20시,경기 동두천시,가전제품-생활가전,1개,25000.0
U152440226,여성,61,서울 서초구,31일-7월-2021년 16시,서울 강남구,식품-음료,1개,89000.0
U626431130,여성,55,서울 강남구,7일-8월-2021년 15시,서울 강남구,식품-가공식품,1개,20000.0
U564785156,여성,67,경기 성남시,8일-1월-2021년 18시,서울 송파구,식품-가공식품,1개,5000.0
U803069658,여성,61,경기 의왕시,23일-6월-2021년 10시,경기 안양시,식품-음료,3개,40000.0
U842077979,여성,56,부산 사하구,14일-2월-2021년 16시,부산 부산진구,의류잡화-여성용의류-고급의류,-1개,-3197000.0
U63552948,여성,58,경기 성남시,14일-6월-2021년 17시,경기 성남시,의류잡화-남성용의류-캐주얼,1개,161000.0
U369193862,여성,60,서울 마포구,17일-8월-2021년 13시,서울 중구,식품-가공식품,1개,37000.0
U784886142,여성,57,경기 광명시,5일-8월-2021년 16시,경기 안양시,식품-농산물,1개,5000.0
U634552698,여성,62,서울 동작구,15일-6월-2021년 17시,서울 중구,생활잡화-화장품,-1개,
U207822494,여성,60,서울 중구,17일-8월-2021년 11시,부산 중구,생활잡화-생활용품,1개,13000.0
U400186158,여성,60,서울 서대문구,4일-10월-2021년 13시,서울 중구,,1개,6000.0
U780267244,여성,55,서울 노원구,27일-8월-2021년 16시,서울 노원구,식품-가공식품,2개,15000.0
U991558167,여성,55,서울 은평구,17일-8월-2021년 13시,서울 은평구,가전제품-TV/AV,1개,67000.0
U48847718,여성,66,경기 고양시,14일-8월-2021년 18시,서울 중구,,1개,18000.0
U378860221,여성,65,경기 고양시,4일-7월-2021년 16시,경기 고양시,식품-가공식품,1개,3000.0
U729870549,여성,59,서울 강남구,8일-8월-2021년 19시,서울 강남구,식품-농산물,1개,4000.0
U636875249,여성,59,경기 용인시,22일-4월-2021년 19시,서울 송파구,의류잡화-여성용의류-SPA,1개,35000.0
U539114554,남성,57,서울 강남구,8일-5월-2021년 18시,서울 강남구,식품-가공식품,1개,9000.0
U511363131,여성,55,경기 부천시,14일-12월-2021년 16시,경기 부천시,,1개,2000.0
U695099653,여성,62,서울 강남구,14일-4월-2021년 17시,서울 강남구,식품-가공식품,1개,8000.0
U563056641,남성,57,경기 광주시,8일-10월-2021년 15시,경기 성남시,의류잡화-남성용의류-캐주얼,1개,61000.0
U700476036,여성,56,서울 마포구,4일-11월-2021년 16시,경기 고양시,생활잡화-화장품,1개,87000.0
U702715075,여성,65,부산 부산진구,21일-1월-2021년 15시,부산 부산진구,식품-농산물,1개,10000.0
U220492607,여성,61,서울 서초구,13일-9월-2021년 12시,서울 강남구,의류잡화-여성용의류-고급의류,1개,116000.0
U192448946,남성,66,경기 남양주시,7일-7월-2021년 14시,경기 구리시,,1개,5000.0
U491322361,여성,57,경기 부천시,25일-12월-2021년 17시,경기 부천시,식품-농산물,1개,3000.0
U153493609,여성,56,부산 부산진구,12일-7월-2021년 18시,부산 부산진구,의류잡화-여성용의류-SPA,2개,34000.0
U973281576,여성,57,경기 고양시,26일-3월-2021년 18시,경기 고양시,식품-농산물,4개,4000.0
U384749528,남성,71,부산 부산진구,21일-1월-2021년 14시,부산 부산진구,의류잡화-패션잡화,-1개,-18000.0
U563056641,남성,57,경기 광주시,20일-7월-2021년 11시,경기 성남시,레포츠-스포츠용품/의류,1개,114000.0
U302849803,여성,61,경기 양평군,24일-12월-2021년 16시,서울 동대문구,,1개,620000.0
U663189343,여성,55,부산 북구,24일-6월-2021년 16시,부산 동래구,의류잡화-남성용의류-정장류,1개,
U103867153,여성,57,부산 해운대구,8일-11월-2021년 19시,부산 해운대구,식품-축산물,1개,20000.0
U652923944,여성,55,부산 해운대구,20일-6월-2021년 15시,부산 동래구,의류잡화-여성용의류-SPA,1개,111000.0
U949947475,여성,60,서울 동작구,8일-1월-2021년 19시,서울 중구,식품-농산물,1개,2000.0
U778774435,여성,64,경기 성남시,29일-3월-2021년 18시,경기 성남시,식품-농산물,1개,3000.0
U382190896,남성,58,경기 고양시,5일-9월-2021년 18시,서울 중구,의류잡화-여성용의류-고급의류,-1개,-133000.0
U434029541,여성,55,서울 용산구,5일-3월-2021년 19시,서울 중구,생활잡화-생활용품,1개,23000.0
U45775442,남성,59,경기 부천시,19일-7월-2021년 15시,경기 부천시,생활잡화-생활용품,1개,
U588167667,여성,60,경기 안양시,29일-11월-2021년 13시,경기 안양시,레포츠-스포츠용품/의류,-1개,-44000.0
U609389506,남성,67,서울 용산구,8일-11월-2021년 19시,서울 중구,식품-가공식품,1개,16000.0
U790152087,남성,57,서울 강남구,17일-10월-2021년 19시,서울 강남구,의류잡화-남성용의류-캐주얼,1개,159000.0
U153345164,여성,63,경기 안양시,16일-3월-2021년 15시,경기 안양시,식품-농산물,1개,10000.0
U973281576,여성,57,경기 고양시,10일-8월-2021년 15시,경기 고양시,식품-가공식품,1개,3000.0
U53526927,여성,57,부산 연제구,29일-5월-2021년 12시,부산 부산진구,의류잡화-남성용의류-정장류,-2개,-44000.0
U488600467,여성,60,서울 영등포구,4일-12월-2021년 13시,서울 영등포구,명품-명품,1개,26000.0
U61449674,여성,56,경기 평택시,5일-2월-2021년 16시,서울 강북구,식품-농산물,1개,5000.0
U213366429,여성,57,서울 강북구,18일-9월-2021년 12시,서울 노원구,식품-가공식품,2개,29000.0
U158108371,여성,62,서울 송파구,20일-1월-2021년 14시,서울 송파구,식품-가공식품,1개,16000.0
U259879305,여성,57,경기 수원시,17일-5월-2021년 19시,서울 동대문구,의류잡화-여성용의류-SPA,1개,9000.0
U272555627,여성,62,서울 종로구,21일-8월-2021년 14시,서울 영등포구,의류잡화-아동용의류,1개,35000.0
U663826861,남성,69,서울 서대문구,22일-11월-2021년 16시,서울 동대문구,레포츠-골프용품/의류,1개,53000.0
U882284269,여성,55,서울 동대문구,10일-7월-2021년 16시,서울 동대문구,가전제품-주방가전,1개,70000.0
U14661989,남성,58,서울 은평구,19일-11월-2021년 17시,서울 중구,식품-농산물,1개,9000.0
U297193527,남성,55,부산 금정구,27일-4월-2021년 12시,부산 동래구,의류잡화-남성용의류-캐주얼,3개,104000.0
U530739747,여성,55,부산 연제구,20일-4월-2021년 14시,부산 해운대구,의류잡화-여성용의류-이너웨어,1개,49000.0
U7396302,여성,56,부산 강서구,8일-3월-2021년 17시,부산 중구,,1개,18000.0
U248064289,여성,55,경기 안양시,29일-7월-2021년 19시,경기 안양시,생활잡화-화장품,1개,52000.0
U221528555,여성,55,부산 해운대구,14일-1월-2021년 17시,부산 해운대구,식품-건강식품,4개,89000.0
U153345164,여성,63,경기 안양시,21일-11월-2021년 17시,경기 안양시,레포츠-골프용품/의류,1개,282000.0
U186517977,여성,55,경기 구리시,30일-10월-2021년 13시,경기 구리시,의류잡화-여성용의류-이너웨어,1개,
U436184278,남성,59,서울 성북구,8일-8월-2021년 15시,서울 중구,식품-가공식품,1개,6000.0
U484100043,여성,58,경기 의왕시,1일-8월-2021년 13시,경기 안양시,식품-농산물,1개,5000.0
U438064647,남성,55,경기 의왕시,3일-9월-2021년 18시,경기 안양시,식품-가공식품,1개,13000.0
U223146124,여성,59,서울 송파구,5일-7월-2021년 19시,서울 송파구,식품-가공식품,1개,9000.0
U703970215,여성,60,부산 동래구,18일-10월-2021년 17시,부산 동래구,식품-수산물,1개,9000.0
U439000568,여성,57,부산 남구,16일-2월-2021년 18시,부산 부산진구,식품-가공식품,1개,66000.0
U163759008,여성,55,서울 동작구,23일-5월-2021년 14시,경기 안양시,의류잡화-여성용의류-SPA,1개,12000.0
U815878702,여성,58,경기 의정부시,3일-5월-2021년 15시,서울 강북구,식품-가공식품,1개,8000.0
U25612406,여성,70,부산 해운대구,30일-3월-2021년 17시,부산 해운대구,식품-가공식품,1개,2000.0
U81838282,여성,61,부산 수영구,28일-2월-2021년 12시,부산 해운대구,가전제품-주방가전,1개,107000.0
U954726966,여성,55,경기 양평군,17일-11월-2021년 12시,경기 구리시,,1개,9000.0
U231931017,남성,57,부산 남구,3일-6월-2021년 18시,부산 해운대구,의류잡화-여성용의류-SPA,1개,53000.0
U331129310,여성,60,경기 안양시,21일-7월-2021년 18시,경기 안양시,식품-가공식품,1개,6000.0
U445256049,여성,57,서울 영등포구,15일-3월-2021년 12시,경기 이천시,의류잡화-패션잡화,1개,230000.0
U991220368,여성,58,서울 용산구,2일-2월-2021년 15시,서울 중구,식품-축산물,1개,9000.0
U757511881,여성,69,부산 수영구,14일-9월-2021년 13시,부산 수영구,가전제품-주방가전,1개,648000.0
U845830629,남성,61,경기 남양주시,9일-2월-2021년 14시,경기 구리시,식품-농산물,1개,14000.0
U418541047,여성,62,서울 강동구,2일-12월-2021년 12시,서울 송파구,의류잡화-여성용의류-SPA,-1개,-858000.0
U489452675,여성,75,경기 성남시,4일-7월-2021년 15시,경기 성남시,식품-농산물,3개,5000.0
U53627484,여성,61,서울 강남구,2일-4월-2021년 18시,서울 영등포구,,1개,30000.0
U808654096,여성,64,서울 동대문구,5일-7월-2021년 12시,서울 동대문구,의류잡화-구두,1개,55000.0
U78807271,남성,55,경기 안양시,29일-12월-2021년 16시,경기 광명시,명품-명품,1개,92000.0
U598801471,여성,55,경기 김포시,23일-2월-2021년 14시,경기 부천시,가전제품-컴퓨터주변기기,1개,8000.0
U63002458,여성,65,경기 용인시,5일-3월-2021년 15시,경기 성남시,,1개,
U605824930,남성,56,서울 서대문구,11일-10월-2021년 11시,서울 강서구,,1개,35000.0
U30438592,여성,55,부산 남구,25일-9월-2021년 12시,부산 부산진구,생활잡화-화장품,1개,29000.0
U33757415,여성,56,부산 남구,5일-4월-2021년 14시,부산 부산진구,의류잡화-남성용의류-캐주얼,1개,62000.0
U104025422,여성,63,경기 부천시,9일-5월-2021년 19시,경기 부천시,레포츠-스포츠용품/의류,-1개,-13000.0
U779190802,여성,69,서울 용산구,22일-6월-2021년 17시,서울 강남구,식품-가공식품,1개,9000.0
U701127368,남성,55,서울 마포구,30일-12월-2021년 16시,서울 마포구,가전제품-컴퓨터주변기기,1개,14000.0
U492425419,여성,59,경기 안양시,17일-8월-2021년 16시,경기 안양시,생활잡화-생활용품,1개,6000.0
U666383039,여성,58,경기 안산시,7일-7월-2021년 13시,경기 안산시,의류잡화-아동용의류,1개,24000.0
U298003550,남성,73,경기 동두천시,25일-2월-2021년 14시,서울 동대문구,가전제품-주방가전,-1개,-177000.0
U663826861,남성,69,서울 서대문구,27일-4월-2021년 11시,서울 동대문구,의류잡화-여성용의류-고급의류,1개,27000.0
U539032107,남성,60,경기 고양시,29일-3월-2021년 12시,경기 고양시,의류잡화-남성용의류-캐주얼,1개,471000.0
U488782876,여성,56,경기 고양시,19일-10월-2021년 14시,경기 부천시,식품-가공식품,1개,7000.0
U714840883,여성,65,경기 안산시,31일-10월-2021년 17시,경기 안양시,가전제품-주방가전,1개,88000.0
U243839179,여성,63,서울 용산구,10일-8월-2021년 19시,경기 이천시,식품-농산물,1개,
U431563594,여성,56,서울 송파구,23일-9월-2021년 11시,서울 송파구,식품-가공식품,1개,
U536561300,여성,75,경기 안양시,27일-9월-2021년 13시,경기 안양시,가전제품-주방가전,1개,13000.0
U905257671,여성,56,서울 서대문구,6일-4월-2021년 16시,서울 송파구,식품-가공식품,1개,7000.0
U709252477,여성,58,서울 송파구,16일-5월-2021년 17시,서울 송파구,생활잡화-화장품,2개,1117000.0
U81838282,여성,61,부산 수영구,13일-7월-2021년 13시,부산 해운대구,의류잡화-아동용의류,1개,
U618115849,여성,57,경기 구리시,16일-5월-2021년 17시,서울 노원구,생활잡화-화장품,1개,31000.0
U670304024,남성,82,서울 송파구,18일-11월-2021년 15시,서울 송파구,가전제품-주방가전,1개,12000.0
U864639893,여성,60,부산 동구,5일-12월-2021년 17시,부산 해운대구,식품-농산물,1개,3000.0
U700019022,여성,57,서울 종로구,24일-7월-2021년 16시,서울 중구,의류잡화-구두,1개,448000.0
U467105964,여성,64,경기 광명시,5일-7월-2021년 17시,서울 영등포구,의류잡화-여성용의류-이너웨어,-1개,-43000.0
U448718487,여성,67,부산 부산진구,13일-6월-2021년 17시,부산 부산진구,의류잡화-여성용의류-SPA,-1개,-13000.0
U522513275,남성,59,부산 수영구,13일-8월-2021년 18시,부산 동구,가전제품-컴퓨터주변기기,2개,123000.0
U509767950,여성,60,경기 수원시,9일-4월-2021년 14시,경기 안양시,식품-가공식품,1개,21000.0
U25612406,여성,70,부산 해운대구,30일-7월-2021년 16시,부산 해운대구,의류잡화-남성용의류-캐주얼,1개,98000.0
U228039119,여성,59,서울 영등포구,6일-7월-2021년 17시,서울 영등포구,레포츠-스포츠용품/의류,1개,55000.0
U365972452,여성,56,서울 강동구,15일-10월-2021년 16시,서울 강동구,가전제품-생활가전,1개,61000.0
U567772268,여성,59,서울 강서구,6일-11월-2021년 13시,서울 강서구,의류잡화-여성용의류-SPA,1개,9000.0
U695099653,여성,62,서울 강남구,19일-3월-2021년 16시,서울 강남구,식품-가공식품,1개,3000.0
U56126181,남성,60,서울 동대문구,3일-8월-2021년 16시,서울 동대문구,의류잡화-남성용의류-정장류,1개,17000.0
U81139940,여성,70,부산 사하구,14일-1월-2021년 12시,부산 중구,,1개,79000.0
U35248503,여성,55,서울 노원구,10일-4월-2021년 16시,서울 노원구,의류잡화-여성용의류-캐주얼,1개,17000.0
U568065401,여성,63,경기 구리시,21일-6월-2021년 19시,경기 구리시,생활잡화-생활용품,1개,6000.0
U418942301,여성,55,서울 강북구,18일-8월-2021년 14시,서울 강북구,식품-가공식품,1개,9000.0
U109015868,남성,58,경기 안양시,22일-9월-2021년 19시,서울 강남구,생활잡화-생활용품,1개,11000.0
U348197478,남성,59,서울 강북구,8일-7월-2021년 14시,서울 강북구,식품-농산물,1개,24000.0
U171736577,여성,55,서울 마포구,22일-3월-2021년 20시,서울 영등포구,식품-가공식품,1개,9000.0
U427741548,여성,59,서울 영등포구,8일-4월-2021년 11시,서울 영등포구,식품-가공식품,1개,13000.0
U904229786,여성,66,서울 노원구,4일-5월-2021년 19시,서울 노원구,의류잡화-여성용의류-SPA,1개,9000.0
U21883276,여성,55,경기 과천시,2일-6월-2021년 14시,경기 안양시,식품-가공식품,1개,24000.0
U687961778,여성,59,서울 송파구,22일-7월-2021년 15시,서울 송파구,,1개,40000.0
U714840883,여성,65,경기 안산시,30일-3월-2021년 14시,경기 안양시,의류잡화-구두,1개,79000.0
U658972837,여성,60,경기 안양시,21일-6월-2021년 16시,경기 안양시,의류잡화-여성용의류-정장류,1개,159000.0
U467105964,여성,64,경기 광명시,28일-4월-2021년 17시,서울 영등포구,식품-가공식품,1개,5000.0
U838259845,여성,64,부산 수영구,3일-2월-2021년 12시,부산 부산진구,,1개,17000.0
U509126185,남성,56,서울 은평구,1일-9월-2021년 18시,서울 중구,생활잡화-화장품,1개,107000.0
U330052449,여성,59,부산 사상구,11일-11월-2021년 16시,부산 부산진구,,1개,6000.0
U708308936,남성,65,서울 서대문구,9일-12월-2021년 14시,경기 파주시,의류잡화-아동용의류,1개,56000.0
U211570334,남성,70,경기 안산시,19일-9월-2021년 15시,서울 강북구,의류잡화-여성용의류-SPA,1개,12000.0
U509041336,여성,65,서울 송파구,20일-4월-2021년 18시,경기 고양시,생활잡화-화장품,1개,137000.0
U79986656,남성,60,부산 사하구,6일-4월-2021년 19시,서울 중구,의류잡화-구두,1개,61000.0
U503543299,여성,68,부산 해운대구,19일-9월-2021년 13시,부산 해운대구,식품-가공식품,1개,11000.0
U783241035,여성,58,경기 고양시,3일-7월-2021년 16시,경기 고양시,의류잡화-여성용의류-이너웨어,1개,4000.0
U990466511,여성,59,부산 해운대구,13일-3월-2021년 15시,부산 해운대구,레포츠-스포츠용품/의류,1개,124000.0
U31637266,여성,59,서울 노원구,30일-3월-2021년 15시,서울 노원구,생활잡화-생활용품,1개,16000.0
U351800310,여성,67,부산 연제구,10일-8월-2021년 17시,부산 부산진구,레포츠-골프용품/의류,1개,224000.0
U177218305,남성,58,서울 노원구,12일-12월-2021년 13시,서울 노원구,가전제품-주방가전,1개,123000.0
U862978930,남성,63,서울 노원구,28일-4월-2021년 18시,경기 구리시,식품-가공식품,3개,16000.0
U155460193,남성,57,부산 해운대구,25일-12월-2021년 20시,부산 중구,식품-가공식품,1개,9000.0
U833202938,여성,58,부산 사하구,16일-4월-2021년 14시,부산 부산진구,의류잡화-여성용의류-고급의류,6개,5000.0
U8270706,여성,63,서울 송파구,31일-10월-2021년 12시,서울 송파구,의류잡화-여성용의류-SPA,1개,115000.0
U968984561,여성,63,경기 안양시,6일-6월-2021년 16시,경기 안양시,식품-축산물,1개,14000.0
U717526435,여성,56,서울 중구,28일-1월-2021년 15시,서울 중구,식품-농산물,1개,
U35120595,여성,55,서울 마포구,26일-12월-2021년 14시,경기 파주시,의류잡화-남성용의류-캐주얼,1개,461000.0
U919853496,여성,57,서울 동작구,8일-11월-2021년 20시,서울 금천구,가전제품-주방가전,1개,44000.0
U100737001,여성,75,부산 수영구,19일-4월-2021년 16시,부산 해운대구,생활잡화-화장품,1개,27000.0
U807526904,여성,59,서울 구로구,13일-1월-2021년 15시,서울 영등포구,식품-농산물,-1개,-213000.0
U749333450,여성,63,서울 용산구,11일-4월-2021년 17시,서울 중구,레포츠-스포츠용품/의류,1개,60000.0
U790152087,남성,57,서울 강남구,23일-2월-2021년 19시,서울 강남구,식품-가공식품,1개,5000.0
U784655847,남성,58,경기 성남시,28일-6월-2021년 16시,경기 성남시,식품-농산물,1개,2000.0
U948887839,여성,56,서울 송파구,10일-9월-2021년 15시,서울 송파구,의류잡화-여성용의류-SPA,1개,26000.0
U848836855,여성,60,경기 부천시,22일-6월-2021년 15시,경기 부천시,식품-음료,1개,5000.0
U242570447,남성,59,서울 영등포구,5일-2월-2021년 18시,서울 영등포구,의류잡화-여성용의류-SPA,1개,58000.0
U801203525,여성,73,경기 양평군,14일-4월-2021년 12시,서울 동대문구,의류잡화-여성용의류-정장류,1개,
U544918745,여성,57,경기 고양시,12일-10월-2021년 14시,경기 고양시,레포츠-골프용품/의류,1개,61000.0
U833202938,여성,58,부산 사하구,22일-4월-2021년 15시,부산 중구,식품-농산물,1개,2000.0
U463669817,남성,56,경기 부천시,26일-1월-2021년 15시,경기 부천시,식품-가공식품,1개,4000.0
U737087836,남성,55,경기 의정부시,30일-8월-2021년 14시,서울 노원구,가전제품-생활가전,1개,124000.0
U831353699,여성,55,경기 안양시,7일-2월-2021년 19시,경기 안양시,가전제품-PC/노트북/프린터/카메라,1개,657000.0
U875798594,남성,60,서울 노원구,5일-11월-2021년 16시,서울 노원구,가전제품-주방가전,1개,124000.0
U808654096,여성,64,서울 동대문구,21일-6월-2021년 17시,서울 동대문구,레포츠-스포츠용품/의류,1개,59000.0
U804665222,여성,58,서울 송파구,10일-7월-2021년 11시,서울 송파구,식품-음료,1개,7000.0
U128811308,여성,59,부산 사상구,23일-5월-2021년 16시,부산 중구,생활잡화-침구류,-1개,-26000.0
U571062681,여성,56,서울 서대문구,7일-2월-2021년 10시,서울 중구,생활잡화-화장품,1개,80000.0
U353485289,여성,55,서울 서대문구,17일-2월-2021년 18시,서울 중구,식품-가공식품,1개,9000.0
U864639893,여성,60,부산 동구,23일-5월-2021년 14시,부산 해운대구,생활잡화-생활용품,1개,12000.0
U814133495,남성,55,서울 동대문구,2일-6월-2021년 19시,서울 동대문구,식품-가공식품,2개,20000.0
U943532664,여성,57,서울 마포구,25일-3월-2021년 16시,서울 영등포구,식품-음료,1개,32000.0
U214332001,여성,56,부산 연제구,5일-11월-2021년 15시,부산 연제구,가전제품-TV/AV,1개,68000.0
U448718487,여성,67,부산 부산진구,27일-5월-2021년 12시,부산 부산진구,식품-가공식품,2개,6000.0
U998386599,여성,67,서울 송파구,12일-11월-2021년 18시,서울 송파구,가전제품-생활가전,1개,49000.0
U113965420,여성,58,경기 부천시,13일-1월-2021년 15시,경기 부천시,식품-축산물,1개,27000.0
U215876176,여성,67,부산 사하구,12일-3월-2021년 16시,부산 중구,의류잡화-구두,1개,25000.0
U769445235,여성,55,서울 송파구,20일-9월-2021년 14시,서울 송파구,가전제품-주방가전,2개,26000.0
U708674796,여성,61,서울 강남구,15일-4월-2021년 12시,서울 강남구,의류잡화-여성용의류-SPA,1개,12000.0
U409801962,남성,65,서울 중구,14일-9월-2021년 15시,서울 중구,식품-가공식품,1개,39000.0
U879601783,여성,57,부산 강서구,5일-2월-2021년 11시,부산 중구,식품-농산물,1개,1000.0
U731191765,여성,60,경기 과천시,19일-4월-2021년 12시,경기 안양시,의류잡화-남성용의류-캐주얼,1개,536000.0
U576015642,여성,58,경기 안산시,19일-7월-2021년 13시,경기 안산시,생활잡화-생활용품,1개,25000.0
U585461706,남성,65,부산 해운대구,11일-10월-2021년 14시,부산 부산진구,식품-축산물,2개,18000.0
U973281576,여성,57,경기 고양시,17일-9월-2021년 15시,경기 고양시,가전제품-주방가전,1개,9000.0
U946230759,여성,57,경기 용인시,3일-10월-2021년 17시,서울 동대문구,가전제품-주방가전,1개,
U31637266,여성,59,서울 노원구,20일-4월-2021년 14시,서울 노원구,생활잡화-화장품,1개,24000.0
U328916129,남성,58,경기 고양시,25일-8월-2021년 19시,경기 고양시,가전제품-생활가전,1개,109000.0
U820095200,여성,55,서울 노원구,26일-9월-2021년 18시,서울 노원구,,1개,9000.0
U913032221,여성,61,경기 광주시,3일-8월-2021년 14시,경기 성남시,식품-가공식품,1개,11000.0
U761620039,남성,56,부산 서구,12일-8월-2021년 19시,부산 중구,식품-축산물,1개,15000.0
U623668388,남성,82,서울 송파구,10일-6월-2021년 13시,서울 송파구,,1개,13000.0
U490121442,여성,60,경기 안양시,3일-8월-2021년 11시,경기 안양시,의류잡화-여성용의류-SPA,1개,19000.0
U968984561,여성,63,경기 안양시,10일-1월-2021년 16시,경기 안양시,생활잡화-침구류,1개,88000.0
U191785318,여성,57,부산 동래구,29일-3월-2021년 21시,부산 해운대구,식품-건강식품,1개,8000.0
U714840883,여성,65,경기 안산시,6일-6월-2021년 15시,경기 안양시,생활잡화-침구류,-1개,
U653979631,여성,68,경기 구리시,28일-12월-2021년 14시,경기 구리시,가전제품-주방가전,1개,186000.0
U497983708,여성,65,서울 은평구,23일-12월-2021년 12시,서울 동대문구,의류잡화-패션잡화,1개,9000.0
U994677461,여성,68,서울 동작구,9일-11월-2021년 14시,서울 관악구,,1개,3000.0
U702715075,여성,65,부산 부산진구,30일-4월-2021년 11시,부산 부산진구,식품-가공식품,1개,10000.0
U182661811,여성,58,서울 강서구,7일-11월-2021년 18시,부산 해운대구,생활잡화-화장품,1개,107000.0
